"title","artist","year","num_words","id","duration_ms","popularity","danceability","energy","loudness","valence","tempo"
"BREAK FREE","Ariana Grande","2014","325","12KUFSHFgT0XCoiSlvdQi4","214840","77","0.687","0.702","-5.324","0.284","129.956"
"BAILANDO","Enrique Iglesias","2014","394","32lm3769IRfcnrQV11LO4E","243413","68","0.723","0.777","-3.503","0.961","91.017"
"BURN","Ellie Goulding","2014","486","0xMd5bcWTbyXS7wPrBtZA6","231211","67","0.559","0.777","-5.031","0.329","87.016"
"WIGGLE","Jason Derulo","2014","356","2sLwPnIP3CUVmIuHranJZU","193295","61","0.697","0.621","-6.886","0.721","81.946"
"RATHER BE","Clean Bandit","2014","397","3s4U7OHV7gnj42VV72eSZ6","227833","73","0.799","0.586","-6.735","0.549","120.97"
"DON'T TELL 'EM","Jeremih","2014","659","0Dc7J9VPV4eOInoxUiZrsL","266840","73","0.851","0.525","-5.221","0.405","97.988"
"SHOW ME","Kid Ink","2014","536","4q6dqyGM25sKFU8nYAGRe4","217800","71","0.711","0.508","-7.299","0.665","98.098"
"WRECKING BALL","Miley Cyrus","2014","335","2vwlzO0Qp8kfEtzTsCXfyE","221360","75","0.53","0.422","-6.262","0.349","119.964"
"NOT A BAD THING","Justin Timberlake","2014","898","3nB82yGjtbQFSU0JLAwLRH","688453","56","0.308","0.563","-9.169","0.109","85.901"
"ROAR","Katy Perry","2014","347","6F5c58TMEs1byxUstkzVeM","223546","77","0.554","0.772","-4.821","0.455","179.984"
"THE MAN","Aloe Blacc","2014","521","2stPxcgjdSImK7Gizl8ZUN","254880","61","0.308","0.769","-7.256","0.488","81.853"
"THIS IS HOW WE ROLL","Florida Georgia Line","2014","372","2TR7A4ulH9R1PNwMyd8o8U","220906","69","0.555","0.931","-2.969","0.723","132.085"
"A SKY FULL OF STARS","Coldplay","2014","153","0FDzzruyVECATHXKHFs9eJ","268466","77","0.551","0.636","-7.125","0.153","124.996"
"DON'T","Ed Sheeran","2014","594","1huvTbEYtgltjQRXzrNKGi","219840","75","0.806","0.608","-7.008","0.849","95.049"
"NA NA","Trey Songz","2014","470","5maiP9UMnTSgoxPX8X3bdz","231906","63","0.67","0.476","-6.253","0.235","96.975"
"SING","Ed Sheeran","2014","402","6K8qKeWo5MsFED7wCR6Kop","235382","72","0.818","0.67","-4.451","0.939","119.988"
"RADIOACTIVE","Imagine Dragons","2014","227","4G8gkOterJn0Ywt6uhqbhp","186813","73","0.448","0.784","-3.686","0.236","136.245"
"COOL KIDS","Echosmith","2014","336","13P5rwmk2EsoFRIz9UCeh9","237626","70","0.719","0.671","-6.279","0.786","130.027"
"HEY BROTHER","Avicii","2014","192","4RXpgGM7A4Hg7cFBoH5KyF","255093","78","0.537","0.777","-4.829","0.427","124.943"
"TRUMPETS","Jason Derulo","2014","311","5KONnBIQ9LqCxyeSPin26k","217419","68","0.635","0.691","-4.862","0.638","82.142"
"ANIMALS","Maroon 5","2014","466","2bL2gyO6kBdLkNSkxXNh6x","231013","74","0.279","0.742","-6.46","0.328","189.868"
"ANIMALS","Maroon 5","2014","466","1TWfkGrhF7ob0nwB2M6knb","304228","62","0.675","0.868","-6.36","0.0376","128.007"
"BURNIN' IT DOWN","Jason Aldean","2014","388","5HJqpDspKDKwQpLjvkcIsD","219160","65","0.681","0.795","-6.652","0.64","135.939"
"PLAY IT AGAIN","Luke Bryan","2014","433","03fT3OHB9KyMtGMt2zwqCT","226866","74","0.51","0.898","-3.15","0.596","144.056"
"DIRT","Florida Georgia Line","2014","391","5CXnIPD6rTjszYYQm6fY2P","230586","62","0.554","0.875","-4.185","0.543","121.976"
"LOVE RUNS OUT","OneRepublic","2014","441","5BJSZocnCeSNeYMj3iVqM7","224226","61","0.719","0.935","-3.752","0.738","120.022"
"BOTTOMS UP","Brantley Gilbert","2014","427","477pWnF7WFWb9Qs6g8rs4J","220200","64","0.479","0.87","-5.739","0.537","170.047"
"SHOWER","Becky G","2014","407","3DmW6y7wTEYHJZlLo1r6XJ","206166","75","0.699","0.529","-7.548","0.121","119.987"
"ME AND MY BROKEN HEART","Rixton","2014","404","1oew3nFNY3vMacJAsvry0S","193733","74","0.544","0.774","-4.21","0.522","174.121"
"ANIMALS","Martin Garrix","2014","8","2bL2gyO6kBdLkNSkxXNh6x","231013","74","0.279","0.742","-6.46","0.328","189.868"
"ANIMALS","Martin Garrix","2014","8","1TWfkGrhF7ob0nwB2M6knb","304228","62","0.675","0.868","-6.36","0.0376","128.007"
"AMERICAN KIDS","Kenny Chesney","2014","342","1dgWTMoHwTUnQhOQ8SR5fV","182960","68","0.733","0.589","-7.37","0.867","170.097"
"BRAVE","Sara Bareilles","2014","353","6Uy6K3KdmUdAfelUp0SeXn","220573","70","0.551","0.836","-3.838","0.758","185.063"
"LOVE NEVER FELT SO GOOD","Michael Jackson","2014","344","48td6xvpokdYwvbl3JIiXP","246026","72","0.775","0.719","-6.212","0.712","117.513"
"DRUNK ON A PLANE","Dierks Bentley","2014","399","1soxUgYIZb1qx1c7o1Lc7z","254466","68","0.439","0.754","-5.566","0.668","205.958"
"BIRTHDAY","Katy Perry","2014","368","2xLOMHjkOK8nzxJ4r6yOKR","215042","63","0.719","0.674","-5.122","0.843","125.98"
"BARTENDER","Lady Antebellum","2014","328","6olKv2HP3XgBpvVxAswowe","198266","61","0.626","0.936","-3.86","0.656","101.01"
